id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
4705,Networking,hard,What is 'packet switching'?,A method of grouping data that is transmitted over a digital network into packets.,Switching between different network protocols.,A type of network hardware.,A security protocol.,a,"In packet switching, data is broken into small packets that are routed independently through the network. This contrasts with circuit switching (used in old telephone networks), where a dedicated channel is established for the duration of a communication.",,,,,,,,,,,,,
4706,Web Development,hard,What is 'memoization' in the context of React?,A way to memoize API calls.,An optimization technique used to speed up applications by caching the results of expensive function calls and returning the cached result when the same inputs occur again.,A method for handling user events.,A security feature.,b,"In React, `React.memo` is a higher-order component that memoizes the rendered output of a functional component. `useMemo` and `useCallback` are hooks that can be used to memoize values and functions, respectively, to prevent unnecessary re-renders.",,,,,,,,,,,,,
4707,Python,easy,What is the output of `print(3 > 2 > 1)`?,TRUE,FALSE,Error,1,a,"Python supports chained comparisons. The expression is evaluated as `(3 > 2) and (2 > 1)`, which is `True and True`, resulting in `True`.",,,,,,,,,,,,,
4708,SQL,medium,What is the purpose of the `CASE` statement?,To create a new table.,To go through conditions and return a value when the first condition is met.,To filter results.,To sort results.,b,"The `CASE` statement is SQL's way of handling if/then/else logic. It can be used in `SELECT`, `WHERE`, and `ORDER BY` clauses.",,,,,,,,,,,,,
4709,Data Structures,medium,What is the main difference between an array and a linked list?,"Arrays have a fixed size, linked lists are dynamic.",Arrays store elements in contiguous memory; linked lists do not.,Insertion and deletion in linked lists are faster than in arrays (once the position is found).,All of the above.,d,Arrays provide fast O(1) indexed access but are expensive to resize and modify. Linked lists provide fast O(1) insertion/deletion but have slow O(n) indexed access.,,,,,,,,,,,,,
4710,Algorithms,medium,What is the difference between 'iteration' and 'recursion'?,Recursion is always faster.,Iteration uses a loop to repeat a set of instructions; recursion is when a function calls itself.,Iteration uses more memory.,They are the same thing.,b,"Any problem that can be solved recursively can also be solved iteratively. Recursion can lead to more elegant and readable code for some problems (like tree traversal), but it can also lead to stack overflow errors if the recursion is too deep.",,,,,,,,,,,,,
4711,Machine Learning,medium,What is a 'p-value' in statistics?,The probability of a model being correct.,"The probability of obtaining results at least as extreme as the observed results of a statistical hypothesis test, assuming that the null hypothesis is correct.",A measure of a feature's importance.,A hyperparameter for a model.,b,"A small p-value (typically ≤ 0.05) indicates strong evidence against the null hypothesis, so you reject the null hypothesis. A large p-value (> 0.05) indicates weak evidence against the null hypothesis, so you fail to reject the null hypothesis.",,,,,,,,,,,,,
4712,Operating Systems,medium,What is a 'race condition'?,When two processes are competing for the CPU.,"An undesirable situation that occurs when a device or system attempts to perform two or more operations at the same time, but because of the nature of the device or system, the operations must be done in the proper sequence to be done correctly.",A hardware error.,A type of security attack.,b,Race conditions can lead to unpredictable behavior and are a common source of bugs in concurrent programming. They are prevented using synchronization mechanisms like mutexes and semaphores.,,,,,,,,,,,,,
4713,Networking,medium,What is 'ICMP'?,Internet Control Message Protocol,Internet Connection Management Protocol,Internal Control Message Protocol,Internet Communication Management Protocol,a,"ICMP is a supporting protocol in the Internet protocol suite. It is used by network devices, like routers, to send error messages and operational information indicating, for example, that a requested service is not available or that a host or router could not be reached.",,,,,,,,,,,,,
4714,Web Development,medium,What is 'specificity' in CSS?,The process of making styles more specific.,The algorithm used by browsers to determine the CSS declaration that is the most relevant to an element.,A type of CSS unit.,A way to name CSS classes.,b,"Specificity is a weight that is applied to a given CSS declaration, determined by the number of each selector type in the matching selector. For example, an `id` selector is more specific than a `class` selector, which is more specific than a tag selector.",,,,,,,,,,,,,
4715,Python,hard,What is a 'closure' in Python?,A way to close a file automatically.,A function object that remembers values in enclosing scopes even if they are not present in memory.,A security feature for functions.,A type of class.,b,"A closure is an inner function that has access to the variables in the scope of the outer function, even after the outer function has finished executing. This is a powerful feature that enables patterns like decorators.",,,,,,,,,,,,,
4716,SQL,hard,What is 'data warehousing'?,The process of storing data in a large warehouse.,The process of collecting and managing data from varied sources to provide meaningful business insights.,A type of database backup.,A way to secure data.,b,A data warehouse is a central repository of information that can be analyzed to make more informed decisions. It is designed for query and analysis (OLAP) rather than for transaction processing (OLTP).,,,,,,,,,,,,,
4717,Data Structures,hard,What is a 'hash collision resolution' technique?,A method for avoiding hash collisions.,A method for handling the case where two different keys hash to the same index in a hash table.,A way to improve the hash function.,A technique for deleting items from a hash table.,b,"Since hash collisions are inevitable, a strategy is needed to handle them. The two main strategies are **chaining** (where each bucket stores a linked list of the elements that hash to it) and **open addressing** (where a collision is resolved by probing for the next available slot).",,,,,,,,,,,,,
4718,Algorithms,hard,What is a 'greedy algorithm'?,An algorithm that is always optimal.,An algorithmic paradigm that makes the locally optimal choice at each stage with the hope of finding a global optimum.,An algorithm that uses a lot of resources.,An algorithm that is difficult to implement.,b,"Greedy algorithms are simple and often efficient, but they don't work for all optimization problems. A classic example where it works is finding the minimum coin change for certain currency systems.",,,,,,,,,,,,,
4719,Machine Learning,hard,What is a 'confusion matrix'?,A matrix that is confusing.,A table that is often used to describe the performance of a classification model on a set of test data for which the true values are known.,A visualization of feature correlations.,A type of neural network layer.,b,"The confusion matrix provides a detailed breakdown of performance, showing the number of true positives, true negatives, false positives, and false negatives. This allows for the calculation of metrics like precision, recall, and F1-score.",,,,,,,,,,,,,
4720,Operating Systems,hard,What is 'virtual memory'?,Memory that does not physically exist.,A memory management capability of an operating system that uses hardware and software to allow a computer to compensate for physical memory shortages.,A faster type of memory.,A secure area of memory.,b,"Virtual memory provides each process with its own private virtual address space, which is then mapped to physical memory by the OS. It allows the system to run programs that are larger than the physical memory and provides memory protection.",,,,,,,,,,,,,
4721,Networking,hard,"What is the difference between 'unicast', 'multicast', and 'broadcast'?",They are different security levels.,"Unicast is one-to-one, multicast is one-to-many, and broadcast is one-to-all.",Multicast is the most efficient.,They are different routing protocols.,b,**Unicast**: A packet is sent from one host to one other host. **Multicast**: A packet is sent from one host to a specific group of hosts. **Broadcast**: A packet is sent from one host to all hosts on the network.,,,,,,,,,,,,,
4722,Web Development,hard,What are 'HTTP headers'?,The main content of an HTTP message.,Components of the header section of request and response messages in the Hypertext Transfer Protocol (HTTP).,A way to style the header of a webpage.,A security feature.,b,"HTTP headers let the client and the server pass additional information with an HTTP request or response. They consist of a case-insensitive name followed by a colon and then by its value. Examples include `Content-Type`, `User-Agent`, and `Cache-Control`.",,,,,,,,,,,,,
4723,Python,easy,"Which collection is ordered, changeable, and allows duplicate members?",Tuple,Set,Dictionary,List,d,"Lists are one of the most versatile data structures in Python, allowing for ordered storage of a mix of data types, with full mutability.",,,,,,,,,,,,,
4724,SQL,medium,What is the purpose of the `HAVING` clause?,To filter rows before they are grouped.,To filter groups based on a condition after the `GROUP BY` clause has been applied.,It is a synonym for the `WHERE` clause.,To sort the grouped results.,b,"The key difference is that `WHERE` filters individual rows, while `HAVING` filters the aggregated results of groups.",,,,,,,,,,,,,
4725,Data Structures,medium,What is the worst-case time complexity for search in a binary search tree (BST)?,O(1),O(log n),O(n),O(n^2),c,"The worst-case scenario for a BST occurs when it becomes degenerate, meaning it essentially becomes a linked list (e.g., if you insert elements in sorted order). In this case, a search takes linear time.",,,,,,,,,,,,,
4726,Algorithms,medium,What is a 'stable' sorting algorithm?,An algorithm that has a stable runtime.,A sorting algorithm that maintains the relative order of records with equal keys or values.,An algorithm that is easy to implement.,An algorithm that uses a constant amount of memory.,b,"For example, if you have a list of people sorted by name and then you sort it by city using a stable sort, people within the same city will remain sorted by name.",,,,,,,,,,,,,
4727,Machine Learning,medium,What is the difference between 'classification' and 'regression'?,Classification predicts a continuous value; regression predicts a discrete category.,Classification is unsupervised; regression is supervised.,Classification predicts a discrete category (class label); regression predicts a continuous numerical value.,There is no difference.,c,Spam detection is a classification problem (spam or not spam). Predicting the price of a house is a regression problem.,,,,,,,,,,,,,
4728,Operating Systems,medium,What is a 'zombie process'?,A process that has been hacked.,A process that has completed execution but still has an entry in the process table.,A process that is running in the background.,A process that cannot be killed.,b,"This entry is needed so the parent process can read its child's exit status. If the parent doesn't 'reap' the zombie, it will persist until the parent process terminates.",,,,,,,,,,,,,
4729,Networking,medium,What is a 'firewall'?,A tool for monitoring network speed.,A network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.,A device to cool down network equipment.,A type of network virus.,b,"A firewall establishes a barrier between a trusted internal network and an untrusted external network, like the Internet, to block malicious traffic.",,,,,,,,,,,,,
4730,Web Development,medium,What is the difference between a `<div>` and a `<span>`?,"`<div>` is for content, `<span>` is for styling.","`<div>` is a block-level element, while `<span>` is an inline element.",`<span>` can contain a `<div>`.,They are interchangeable.,b,A `<div>` is a generic block-level container that takes up the full width available. A `<span>` is a generic inline container for a small piece of content and does not start on a new line.,,,,,,,,,,,,,
4731,Python,hard,What is the Global Interpreter Lock (GIL)?,A security feature in Python.,"A mutex that protects access to Python objects, preventing multiple threads from executing Python bytecodes at the same time.",A tool for debugging multi-threaded code.,A way to speed up Python code.,b,"The GIL is a major feature of the CPython implementation. Because of it, multi-threaded, CPU-bound programs cannot take full advantage of multi-core processors. It is less of an issue for I/O-bound programs.",,,,,,,,,,,,,
4732,SQL,hard,What is a 'window function'?,A function that opens a new window.,A function that performs a calculation across a set of table rows that are somehow related to the current row.,A function for creating graphical interfaces.,A function for analyzing database performance.,b,"Unlike a normal aggregate function which groups rows into a single output, a window function returns a value for each row. They are useful for calculating running totals, rankings, and moving averages.",,,,,,,,,,,,,
4733,Data Structures,hard,What is a 'Red-Black Tree'?,A binary search tree with red and black nodes.,A self-balancing binary search tree that uses node coloring (red or black) to ensure that the tree remains approximately balanced during insertions and deletions.,A tree that is not sorted.,A tree used for artistic visualizations.,b,"By enforcing a set of properties on the node colors, a red-black tree guarantees that the longest path from the root to any leaf is no more than twice as long as the shortest path, ensuring a worst-case O(log n) time complexity.",,,,,,,,,,,,,
4734,Algorithms,hard,What is the 'P vs NP' problem?,A problem in physics.,"One of the most important open problems in computer science, which asks whether every problem whose solution can be quickly verified can also be quickly solved.",A problem related to network protocols.,A problem in algorithm design.,b,"'P' stands for polynomial time, and 'NP' stands for non-deterministic polynomial time. If P=NP, it would have profound implications for cryptography, optimization, and many other fields. The general consensus is that P is not equal to NP.",,,,,,,,,,,,,
4735,Machine Learning,hard,What is the 'bias-variance tradeoff'?,The tradeoff between a model that is too simple and one that is too complex.,A fundamental property of supervised learning models that involves balancing two types of error: bias (error from wrong assumptions) and variance (error from sensitivity to training data).,The tradeoff between training time and prediction time.,The choice between a biased and an unbiased dataset.,b,A simple model has high bias and low variance (underfitting). A complex model has low bias and high variance (overfitting). The goal is to find a balance that minimizes the total error on unseen data.,,,,,,,,,,,,,
4736,Operating Systems,hard,What is 'concurrency' vs 'parallelism'?,They are the same thing.,"Concurrency is when two or more tasks can start, run, and complete in overlapping time periods. Parallelism is when tasks literally run at the same time on different hardware.",Concurrency is a hardware concept; parallelism is a software concept.,Parallelism is always faster.,b,"You can have concurrency on a single-core processor (by switching between tasks), but you need a multi-core processor for true parallelism.",,,,,,,,,,,,,
4737,Networking,hard,What is 'Quality of Service' (QoS)?,"A measure of the overall performance of a service, such as a network or a cloud computing service.",Mechanisms to control traffic and ensure the performance of critical applications to the extent possible.,A security guarantee.,A measure of network speed.,b,"QoS mechanisms work by prioritizing certain types of traffic over others. For example, a network might prioritize real-time voice and video traffic over less time-sensitive traffic like email to ensure a smooth user experience.",,,,,,,,,,,,,
4738,Web Development,hard,What is a 'WebSocket'?,A type of web server.,"A computer communications protocol, providing full-duplex communication channels over a single TCP connection.",A more secure version of HTTP.,A tool for analyzing web traffic.,b,"Unlike the request-response model of HTTP, WebSockets allow for a persistent, two-way communication channel between a client and a server. This is ideal for real-time applications like chat apps, online gaming, and live data feeds.",,,,,,,,,,,,,
4739,Python,easy,Which statement is used to raise an exception in Python?,throw,error,raise,except,c,The `raise` keyword is used to explicitly raise an exception. You can raise a built-in exception or a custom one.,,,,,,,,,,,,,
4740,SQL,medium,What is a 'composite key'?,A key that is composed of multiple parts.,A primary key made up of two or more columns.,A key that is not efficient.,A key that is automatically generated.,b,A composite key is used when a single column is not sufficient to uniquely identify a row in a table. All columns that make up the composite key are collectively the primary key.,,,,,,,,,,,,,
4741,Data Structures,medium,What is the main advantage of a hash table over a balanced binary search tree for lookups?,Hash tables use less memory.,Hash tables have a better average-case time complexity for lookups (O(1) vs O(log n)).,Hash tables are easier to implement.,Hash tables can store more data.,b,"While balanced BSTs guarantee a worst-case O(log n) lookup, the average-case O(1) lookup of a hash table is significantly faster in practice for pure lookup, insertion, and deletion tasks.",,,,,,,,,,,,,
4742,Algorithms,medium,What is a 'recursive algorithm'?,An algorithm that is very efficient.,An algorithm that uses a loop.,An algorithm that solves a problem by calling itself with smaller instances of the same problem.,An algorithm that is difficult to understand.,c,Recursion is a powerful problem-solving technique. A recursive function must have a 'base case' to stop the recursion and a 'recursive step' that moves it closer to the base case.,,,,,,,,,,,,,
4743,Machine Learning,medium,What is 'overfitting'?,When a model is too simple to capture the data's trend.,When a model performs poorly on the training data.,"When a model learns the training data too well, including its noise, and performs poorly on new, unseen data.",When a model is too large.,c,"Overfitting is a major challenge in machine learning. It means the model has failed to generalize from the training data. Techniques like regularization, cross-validation, and getting more data can help prevent it.",,,,,,,,,,,,,
4744,Operating Systems,medium,What is 'memory fragmentation'?,When memory is broken into pieces.,"A phenomenon that occurs in dynamic memory allocation when memory is allocated and deallocated, leading to small, non-contiguous free blocks.",A security attack on memory.,A hardware failure in RAM.,b,"**External fragmentation** is when there is enough total free memory but not a single contiguous block large enough for a request. **Internal fragmentation** is when an allocated block is larger than requested, leaving unused space within the block.",,,,,,,,,,,,,
4745,Networking,medium,What is 'DHCP'?,Dynamic Host Configuration Protocol,Data Host Communication Protocol,Dynamic Host Communication Protocol,Data Host Configuration Protocol,a,DHCP is a network management protocol used to automate the process of configuring devices on IP networks. A DHCP server automatically assigns an IP address and other network parameters to each device on the network.,,,,,,,,,,,,,
4746,Web development,medium,What is a 'callback function' in JavaScript?,A function that is called at the beginning of a script.,"A function passed into another function as an argument, which is then invoked inside the outer function to complete some kind of routine or action.",A function that is not secure.,A function that calls itself.,b,"Callbacks are a fundamental concept for handling asynchronous operations in JavaScript, such as what to do after a network request has finished.",,,,,,,,,,,,,
4747,Python,medium,What is the purpose of the `enumerate()` function?,To count the number of items in a list.,To add a counter to an iterable and return it as an enumerate object.,To create a new enumerated data type.,To check if an item exists in a list.,b,`enumerate()` is useful in `for` loops when you need both the index and the value of each item in a sequence.,,,,,,,,,,,,,
4748,SQL,medium,What is a 'schema' in a database?,The data itself.,"A collection of database objects, including tables, views, triggers, and stored procedures, associated with a particular user or group.",A type of database index.,A security policy.,b,A schema provides a logical classification of database objects. It can be used to organize the database and manage permissions.,,,,,,,,,,,,,
4749,Data Structures,hard,What is a 'Trie' (or Prefix Tree)?,A tree data structure used to store a dynamic set or associative array where the keys are usually strings.,A balanced binary search tree.,A tree used for numerical calculations.,A tree with only two levels.,a,"In a trie, nodes do not store keys directly. Instead, the position of a node in the tree defines the key with which it is associated. They are very efficient for prefix-based searches, such as in autocomplete systems.",,,,,,,,,,,,,
4750,Algorithms,hard,What is a 'greedy algorithm'?,An algorithm that is always optimal.,An algorithmic paradigm that makes the locally optimal choice at each stage with the hope of finding a global optimum.,An algorithm that uses a lot of resources.,An algorithm that is difficult to implement.,b,"Greedy algorithms are simple and often efficient, but they don't work for all optimization problems. A classic example where it works is finding the minimum coin change for certain currency systems.",,,,,,,,,,,,,
4751,Machine Learning,hard,What is a 'confusion matrix'?,A matrix that is confusing.,A table that is often used to describe the performance of a classification model on a set of test data for which the true values are known.,A visualization of feature correlations.,A type of neural network layer.,b,"The confusion matrix provides a detailed breakdown of performance, showing the number of true positives, true negatives, false positives, and false negatives. This allows for the calculation of metrics like precision, recall, and F1-score.",,,,,,,,,,,,,
4752,SQL,easy,Which SQL clause is used to filter records that have a specific value in a column?,FILTER,WHERE,HAVING,SELECT,b,The WHERE clause is used to extract only those records that fulfill a specified condition.,,,,,,,,,,,,,
4753,Data Structures,easy,What is the term for a node that has no children?,Root,Parent,Internal Node,Leaf,d,A leaf node is a node at the end of a tree branch that does not have any child nodes.,,,,,,,,,,,,,
4754,Algorithms,easy,An algorithm's efficiency is often measured by its:,Number of lines of code,Time complexity and space complexity,Ease of implementation,Programming language,b,Time complexity (how long it takes to run) and space complexity (how much memory it uses) are the primary measures of an algorithm's efficiency.,,,,,,,,,,,,,
4755,Machine Learning,easy,"In machine learning, what is a 'label'?",A feature of the data.,The output or 'answer' that a supervised learning model is trained to predict.,An incorrect prediction.,The algorithm used.,b,"In supervised learning, the label is the correct output value that is paired with an input sample in the training data.",,,,,,,,,,,,,
4756,Operating Systems,easy,What is the function of an operating system's file system?,To manage CPU tasks.,To manage memory.,To store and organize files on a storage device.,To run applications.,c,"The file system controls how data is stored and retrieved, managing files, folders, and the directory structure.",,,,,,,,,,,,,
4757,Networking,easy,What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,HyperText Transmission Protocol,High Transmission Text Protocol,a,"HTTP is the foundation of data communication for the World Wide Web, defining how messages are formatted and transmitted.",,,,,,,,,,,,,
4758,Web Development,easy,What is the purpose of the `<h1>` tag in HTML?,To create a hyperlink.,To define the most important heading.,To insert an image.,To create a horizontal rule.,b,"HTML provides six levels of heading tags, from `<h1>` (the most important) to `<h6>` (the least important).",,,,,,,,,,,,,
4759,Python,medium,What will the `zip()` function do with two lists of different lengths?,It will raise an error.,It will stop when the shorter list is exhausted.,It will fill the missing values with `None`.,It will repeat the elements of the shorter list.,b,The `zip()` function creates an iterator that aggregates elements from each of the iterables. The iterator stops when the shortest input iterable is exhausted.,,,,,,,,,,,,,
4760,SQL,medium,What is a `FOREIGN KEY`?,A key that is not unique.,A key used to uniquely identify a row.,A key used to link two tables together.,A primary key from another country's database.,c,"A FOREIGN KEY in one table points to a PRIMARY KEY in another table, creating a referential link and enforcing data integrity between the tables.",,,,,,,,,,,,,
4761,Data Structures,medium,What is a 'binary search tree' (BST)?,A tree where each node can have at most two children.,A sorted binary tree where the left child is less than the parent and the right child is greater.,A tree that is always balanced.,A tree used for storing binary data.,b,"The ordering property of a BST (left < parent < right) makes searching for elements very efficient, with an average time complexity of O(log n).",,,,,,,,,,,,,
4762,Algorithms,medium,What algorithmic paradigm does the Traveling Salesman Problem belong to?,Greedy,Divide and Conquer,Dynamic Programming / Brute Force,Sorting,c,"The Traveling Salesman Problem (TSP) is a classic NP-hard problem. While brute force is possible for small `n`, more efficient solutions often use dynamic programming or approximation algorithms.",,,,,,,,,,,,,
4763,Machine Learning,medium,What is the purpose of a 'loss function' in machine learning?,To measure the accuracy of the model.,To calculate the difference between the model's prediction and the actual value.,To stop the model from overfitting.,To select the best features.,b,"The goal of training a model is to minimize the value of the loss function, which quantifies how 'wrong' the model's predictions are.",,,,,,,,,,,,,
4764,Operating Systems,medium,What is 'multithreading'?,Running multiple processes at the same time.,The ability of a single process to manage multiple independent units of execution (threads).,A type of CPU architecture.,A memory management technique.,b,"Multithreading allows a program to perform several tasks concurrently within the same process, sharing the same memory space, which is more efficient than creating multiple processes.",,,,,,,,,,,,,
4765,Networking,medium,What is the purpose of the 'ping' command?,To download a file.,To check the connectivity between two devices on a network and measure the round-trip time.,To find the IP address of a website.,To secure a network connection.,b,"Ping sends an ICMP Echo Request packet to a target host and waits for an ICMP Echo Reply, helping to diagnose network issues.",,,,,,,,,,,,,
4766,Web Development,medium,What does a CSS selector do?,It selects an HTML element so it can be styled.,It selects a color.,It selects a JavaScript function.,It selects a database record.,a,"CSS selectors are patterns used to select the element(s) you want to style. Examples include selecting by tag name (`p`), class (`.my-class`), or ID (`#my-id`).",,,,,,,,,,,,,
4767,Python,hard,What does the `yield` keyword do in Python?,It terminates a function and returns a value.,"It creates a generator function, pausing execution and returning a value while saving the state.",It is a synonym for `return`.,It yields control to another thread.,b,"Using `yield` in a function makes it a generator. When the generator's `next()` method is called, it executes until it hits a `yield` statement, returns the value, and then pauses until the next call.",,,,,,,,,,,,,
4768,SQL,hard,What is a 'deadlock' in a database?,When a query returns no results.,"A situation where two or more transactions are waiting for each other to release locks, causing them all to be blocked indefinitely.",A database server crash.,A security breach.,b,"Database systems have mechanisms to detect and resolve deadlocks, often by choosing one transaction as a 'victim' and rolling it back.",,,,,,,,,,,,,
4769,Data Structures,hard,What is 'amortized analysis'?,A way to analyze the worst-case performance of an algorithm.,A method for analyzing the average performance of an algorithm over a sequence of operations.,Analyzing an algorithm's memory usage.,Analyzing algorithms that use randomization.,b,"Amortized analysis is used when an operation might be very costly occasionally, but most of the time it is cheap. It averages the cost over a sequence of operations to show that the average cost is small.",,,,,,,,,,,,,
4770,Algorithms,hard,What is the difference between a greedy algorithm and dynamic programming for optimization problems?,Greedy algorithms always find the optimal solution.,Dynamic programming breaks problems into subproblems; greedy algorithms do not.,"Greedy algorithms make a locally optimal choice at each step, which may not be globally optimal. Dynamic programming finds the optimal solution to subproblems to build a globally optimal solution.",Dynamic programming is always faster.,c,"A greedy choice might not lead to a global optimum, whereas dynamic programming guarantees an optimal solution by exhaustively searching all subproblem solutions.",,,,,,,,,,,,,
4771,Machine Learning,hard,What is the 'vanishing gradient problem'?,When the model's accuracy score vanishes.,"A difficulty found in training deep neural networks where the gradients of the loss function approach zero, making the network difficult to train.",When the model's gradient becomes too large.,When the data has no gradient.,b,This problem is common in networks with many layers that use activation functions like sigmoid. Using alternative activation functions like ReLU can help mitigate it.,,,,,,,,,,,,,
4772,Operating Systems,hard,What is 'kernel preemption'?,When the kernel shuts down the system.,The ability of the operating system kernel to interrupt a task running in kernel mode and switch to another task.,A security feature that prevents access to the kernel.,A method for compiling the kernel.,b,Preemptive kernels are more responsive because a high-priority process can gain control of the CPU from a low-priority process even if the low-priority process is in the middle of a system call.,,,,,,,,,,,,,
4773,Networking,hard,How does HTTPS provide a secure connection?,It uses a faster protocol than HTTP.,It encrypts the HTTP traffic using TLS/SSL and authenticates the server's identity.,It sends data over a different port.,It compresses the data.,b,"HTTPS (HyperText Transfer Protocol Secure) uses an encryption protocol (TLS/SSL) to create a secure channel. This prevents eavesdropping, tampering, and ensures the user is communicating with the intended website.",,,,,,,,,,,,,
4774,Web Development,hard,What is a 'Single Page Application' (SPA)?,A website that consists of only one HTML page.,A web application that loads a single HTML page and dynamically updates content as the user interacts with the app.,A website that is not responsive.,A website with no JavaScript.,b,"SPAs provide a more fluid, desktop-like user experience by avoiding full page reloads. Frameworks like React, Angular, and Vue.js are commonly used to build SPAs.",,,,,,,,,,,,,
4775,Python,easy,Which function returns the number of items in an object?,count(),number(),len(),size(),c,"The `len()` function can be used on various objects like lists, tuples, strings, and dictionaries to get the number of items they contain.",,,,,,,,,,,,,
4776,SQL,easy,What does the acronym SQL stand for?,Strong Question Language,Structured Query Language,Simple Query Language,Standard Question Language,b,SQL is the standard language for managing and manipulating data in relational databases.,,,,,,,,,,,,,
4777,Data Structures,easy,"Which data structure uses a 'First-In, First-Out' (FIFO) approach?",Stack,Array,Queue,Tree,c,A queue works like a line of people; the first person to get in line is the first person to be served.,,,,,,,,,,,,,
4778,Algorithms,easy,What is a 'pseudocode'?,A type of programming language.,"An informal, high-level description of the operating principle of a computer program or other algorithm.",Code that contains errors.,Code that has been compiled.,b,Pseudocode is used to plan out an algorithm in a human-readable format before writing it in an actual programming language.,,,,,,,,,,,,,
4779,Machine Learning,easy,What is 'training data'?,The data used to test the model after it's built.,The data used to initially build and train the machine learning model.,The data the model will be used on in the real world.,The output of the model.,b,"The training dataset is the largest portion of the data, used by the algorithm to learn the underlying patterns.",,,,,,,,,,,,,
4780,Operating Systems,easy,What does GUI stand for?,General User Interaction,Graphical User Interface,Global User Interface,General Utility Installer,b,"A GUI allows users to interact with a computer using graphical elements like windows, icons, and buttons, instead of text-based commands.",,,,,,,,,,,,,
4781,Networking,easy,What is an 'ISP'?,Internet Security Protocol,Internal Service Provider,Internet Service Provider,International Security Protocol,c,An ISP is a company that provides individuals and organizations with access to the internet.,,,,,,,,,,,,,
4782,Web Development,easy,What language is primarily used to add interactivity to web pages?,HTML,CSS,Python,JavaScript,d,"While HTML provides the structure and CSS the style, JavaScript is the programming language used to create dynamic and interactive elements on a website.",,,,,,,,,,,,,
4783,Python,medium,What is a dictionary comprehension?,A way to loop through a dictionary.,A concise way to create dictionaries.,A method to sort dictionaries.,A function that merges two dictionaries.,b,"Similar to list comprehensions, dictionary comprehensions provide a short and readable way to create dictionaries, e.g., `{x: x*x for x in range(5)}`.",,,,,,,,,,,,,
4784,SQL,medium,What is the difference between `COUNT(column_name)` and `COUNT(*)`?,`COUNT(*)` is faster.,"`COUNT(column_name)` counts only non-NULL values in that column, while `COUNT(*)` counts all rows.",They are identical.,`COUNT(*)` can only be used on primary keys.,b,"`COUNT(*)` is used to get the total number of rows in a table, regardless of NULL values. `COUNT(column_name)` will ignore rows where the specified column is NULL.",,,,,,,,,,,,,
4785,Data Structures,medium,When is it better to use an adjacency list representation for a graph over an adjacency matrix?,When the graph is dense.,When the graph is sparse.,When the graph is unweighted.,When the graph is directed.,b,"For a sparse graph (where the number of edges is much less than the number of possible edges), an adjacency list is more space-efficient than an adjacency matrix.",,,,,,,,,,,,,
4786,Algorithms,medium,What is the main advantage of Merge Sort over Quick Sort?,It has a better average-case time complexity.,It uses less memory.,It has a better worst-case time complexity (O(n log n)).,It is easier to implement.,c,"Quick Sort's worst-case time complexity is O(n^2), which can occur with poor pivot selection. Merge Sort's O(n log n) performance is guaranteed, making it more stable.",,,,,,,,,,,,,
4787,Machine Learning,medium,What is 'cross-validation'?,A method for validating user input.,A technique for training two models against each other.,A resampling procedure used to evaluate machine learning models on a limited data sample.,A method for visualizing data.,c,"Cross-validation involves partitioning the dataset into complementary subsets, performing the analysis on one subset (the training set), and validating the analysis on the other subset (the validation set).",,,,,,,,,,,,,
4788,Operating Systems,medium,What is a 'thread'?,A process.,The smallest unit of execution that an operating system can schedule.,A program's source code.,A hardware component.,b,"Threads belonging to the same process share resources like memory, which makes them efficient for concurrent tasks but requires careful synchronization.",,,,,,,,,,,,,
4789,Networking,medium,What is the 'three-way handshake' in TCP?,A method for encrypting data.,The process of establishing a connection between a client and a server.,A way to close a connection.,A technique for error correction.,b,"The three steps are: SYN (client requests connection), SYN-ACK (server acknowledges request), and ACK (client acknowledges the server's acknowledgment). This ensures both sides are ready to communicate.",,,,,,,,,,,,,
4790,Web Development,medium,What is the DOM?,Data Object Model,Document Object Model,Direct Output Model,Design Object Model,b,"The DOM is a tree-like representation of an HTML document. JavaScript can manipulate the DOM to change a web page's content, structure, and style dynamically.",,,,,,,,,,,,,
4791,Python,hard,What is the purpose of the `super()` function in Python?,It calls the parent class's constructor.,It allows you to call methods of a superclass in a subclass.,It makes a class a 'super' class.,It is used for multi-threading.,b,`super()` is used in inheritance to refer to the parent class. It allows you to extend the functionality of inherited methods without having to rewrite them entirely.,,,,,,,,,,,,,
4792,SQL,hard,What are OLAP and OLTP?,They are types of SQL databases.,"OLTP (Online Transaction Processing) is for transactional systems, while OLAP (Online Analytical Processing) is for data analysis and warehousing.",OLAP is faster than OLTP.,They are different versions of the SQL language.,b,"OLTP systems are designed for a large number of small, fast transactions (e.g., an e-commerce site). OLAP systems are designed for a small number of complex queries on large datasets (e.g., analyzing sales trends).",,,,,,,,,,,,,
4793,Data Structures,hard,What is a 'disjoint set' data structure?,A set that has no elements.,A data structure that keeps track of a set of elements partitioned into a number of disjoint (non-overlapping) subsets.,A set that cannot be joined with other sets.,A set containing different data types.,b,A disjoint set union (DSU) data structure provides two main operations: `find` (determine which subset an element is in) and `union` (join two subsets into a single subset). It's often used in graph algorithms like Kruskal's.,,,,,,,,,,,,,
