id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1405,Computer Networks,easy,What device operates at OSI Physical Layer?,Switch,Router,Hub,Bridge,c,Hub works at physical layer by broadcasting signals.
1407,Algorithms,medium,What is the purpose of a hash function?,To find the sum of elements,To map data of arbitrary size to a fixed-size value,To sort a list of elements,To find the largest element in an array,b,A hash function is a function that takes an input or 'key' of arbitrary size and returns a fixed-size value called a 'hash' or 'hash code'.
1416,Data Structures,hard,What is the time complexity of inserting an element into a sorted linked list?,O1,Olog n,On,On2,c,"To insert an element into a sorted linked list while maintaining its sorted order, you must traverse the list from the beginning to find the correct insertion point. In the worst case, this requires checking every node, leading to a linear time complexity of On."
1418,Software Development,medium,"What is the purpose of ""continuous integration"" CI?",To continuously deploy code to production,"To integrate code changes from multiple developers frequently, running automated builds and tests",To perform system-wide regression testing,To manually check for errors,b,Continuous Integration CI is a practice where developers regularly merge their code changes into a central repository. Automated builds and tests are run to detect integration errors early and ensure a stable codebase.
1420,Python,medium,What is the purpose of the super function in Python?,To call a method from the parent class,To call a method from the child class,To create a new instance of a class,To delete an instance of a class,a,The super function is used in a class to call a method from its parent or superclass. It is commonly used in init methods to call the parent's constructor.
1425,Logic Design,easy,Which law of Boolean algebra states that A  0  A?,Commutative Law,Identity Law,Associative Law,Distributive Law,b,The Identity Law for addition states that any variable ORed with 0 is equal to the variable itself.
1429,Machine Learning,medium,What does the ROC curve represent?,Relationship between precision and recall,Trade-off between sensitivity and specificity,Training loss,Validation data distribution,b,"ROC Curve plots TPR sensitivity vs FPR 1-specificity, showing classifier performance."
1436,Machine Learning,hard,Which algorithm uses attention mechanism?,Random Forest,CNN,RNN,Transformer,d,Transformers rely heavily on attention mechanisms.
1442,Deep Learning,easy,Which function is often used in output layer for binary classification?,Softmax,Tanh,ReLU,Sigmoid,d,Sigmoid squashes values 01 for binary probabilities.
1448,Cybersecurity,hard,What type of attack exploits flaws before vendor releases a patch?,Brute-force,Phishing,Zero-day,Dictionary,c,Zero-day exploits target unknown or unpatched vulnerabilities.
1453,Python,easy,What is the output of print'Hello'  'World'?,Hello World,HelloWorld,Hello,World,hello.world,B
1454,Python,hard,What is the purpose of the getattr method?,Called when attribute is missing,Defines method arguments,Handles operator overloading,Initializes class variables,a,getattr is invoked when trying to access an attribute that doesn't exist.
1457,Operating Systems,hard,Which strategy avoids deadlock by allocating resources only if state remains safe?,Mutual exclusion,Banker's Algorithm,SJF,LRU,b,Banker's Algorithm avoids deadlocks by checking for a safe state before allocation.
1458,Computer Networks,easy,Which protocol is responsible for assigning IP addresses automatically?,DNS,DHCP,FTP,HTTP,b,DHCP Dynamic Host Configuration Protocol automatically assigns IP addresses and network configuration to devices.
1459,Algorithms,easy,What is the time complexity of traversing a linked list to find a specific element?,O1,On,Olog n,On2,b,"To find a specific element in a linked list, you have to traverse the list from the beginning, checking each node. In the worst case, this requires a linear scan, resulting in On time complexity."
1463,Database Management,medium,What is a database index and why is it used?,A record of all database transactions; for logging,A pointer to data in a table; to enforce data integrity,A data structure to speed up data retrieval,A method for data compression,c,"A database index is a data structure like a B-tree or hash table that speeds up the retrieval of rows from a table by providing a quick lookup mechanism, avoiding a full table scan."
1465,Database Management,medium,Which type of database is best suited for storing and managing unstructured data like JSON documents?,Relational Database,Graph Database,NoSQL Document Database,Key-Value Store,c,"A NoSQL Document Database like MongoDB is designed to store and manage semi-structured or unstructured data in a document format, typically JSON or BSON, making it ideal for flexible data schemas."
1470,Data Structures,easy,Which DS allows fast lookup by key?,List,Array,HashMap,Stack,c,HashMap offers avg O1 lookup.
1475,Data Structures,hard,What is the time complexity of AVL insertion?,O1,Olog n,On,On2,b,AVL insertions take Olog n due to balancing rotations.
1488,Computer Networks,hard,What is the difference between a hub and a router in terms of the OSI model?,A hub operates at the Network Layer,a router at the Physical Layer,A hub operates at the Data Link Layer,a router at the Network Layer,a hub operates at the physical layer,a router at the Network Layer
1490,Cloud Computing,easy,What does PaaS provide?,Virtual servers,Software apps,Application development platforms,Machine virtualization,c,PaaS gives developers app development environments.
1492,Logic Design,medium,What is the number of states in a 3-bit counter?,4,6,8,16,c,3 bits represent 238 possible states.
1496,Operating Systems,easy,What is the main purpose of interrupts?,To speed up disk access,To enable asynchronous signals to CPU,To manage memory mapping,To delete processes,b,Interrupts notify the CPU asynchronously about events like IO completion.
1498,Logic Design,hard,What is a state machine?,A circuit that can hold multiple states,A circuit whose output depends on its inputs and its current state,A circuit used to control other circuits,A circuit that performs a specific sequence of operations,b,"A state machine is a sequential circuit whose output at any given time depends not only on its current inputs but also on its current state. The state is a summary of the circuit's past inputs, which is stored in memory elements like flip-flops."
1500,Machine Learning,hard,What is backpropagation in neural networks?,A method to initialize weights,A method to calculate error,A method to update weights using gradient descent,A type of activation function,c,Backpropagation propagates error backwards through the network layers to optimize weights.
1506,Database Management,hard,What is the difference between a clustered index and a non-clustered index?,A clustered index reorders the physical table,while a non-clustered index does not,A clustered index is faster for reads,while a non-clustered index is faster for writes,a clustered index can be created on multiple columns,while a non-clustered index cannot
1510,Python,medium,What is the difference between append and extend in Python lists?,Both add a single element,append adds one element,extend adds elements from another iterable,They are identical,`append()` only works with strings,B
1512,Algorithms,easy,Which algorithm is best for sorting a small number of elements?,Quick Sort,Merge Sort,Insertion Sort,Heap Sort,c,"Insertion Sort has a simple implementation and performs very well on small datasets or nearly sorted data, making it a good choice for these cases despite its On2 worst-case complexity."
1533,SQL,medium,Which aggregate function is used to count the number of rows in a table?,COUNT,SUM,AVG,COUNT,d,"The COUNT function is the most common way to count the total number of rows in a table, including rows with NULL values. It is a more robust way to count rows than COUNTcolumn which ignores NULLs."
1537,SQL,hard,What does normalization primarily achieve?,Increases redundancy,Reduces redundancy,Improves encryption,Optimizes CPU,b,Normalization reduces redundancy and improves data integrity.
1539,Database Management,easy,Which of the following is a DML command?,CREATE TABLE,ALTER TABLE,INSERT INTO,DROP TABLE,c,"DML Data Manipulation Language commands are used to manage data within schema objects. INSERT INTO is a DML command, while the others are DDL Data Definition Language commands."
1548,Data Structures,medium,What is the space complexity of a recursive implementation of factorial?,O1,On,Olog n,On2,b,"Each recursive call adds a new frame to the stack, so On."
1552,Algorithms,medium,Which algorithm is used to find the shortest path in a weighted graph?,DFS,BFS,Dijkstra,Kruskal,c,Dijkstras algorithm is used for shortest paths.
1561,Logic Design,hard,What is the difference between a D-type flip-flop and a T-type flip-flop?,D-type stores a bit; T-type toggles the state,D-type is a master-slave flip-flop; T-type is not,D-type is edge-triggered; T-type is level-triggered,D-type is used in counters; T-type is used in registers,a,A D-type flip-flop stores the value of its D input when a clock pulse arrives. A T-type flip-flop toggle changes its state from 0 to 1 or 1 to 0 with each clock pulse if its T input is high.
1573,Operating Systems,easy,Which scheduling algorithm executes processes in arrival order?,Priority,Round Robin,FIFO,SJF,c,First-In-First-Out processes based on order of arrival.
1574,Cybersecurity,easy,Which of these is an example of multi-factor authentication?,Password only,Password  OTP,Username only,Email only,b,MFA requires at least two factors such as something you know password and something you have OTPtoken.
1577,Software Testing,hard,Which metric measures coverage of tested branches?,Statement coverage,Path coverage,Branch coverage,Integration coverage,c,Branch coverage ensures both truefalse branches executed.
1579,Algorithms,easy,Which algorithm finds MST?,DFS,Kruskal,Dijkstra,DFS,b,Kruskal finds MST.
1592,Computer Networks,hard,Which routing protocol is path-vector?,RIP,OSPF,BGP,EIGRP,c,BGP is a path-vector routing protocol used for inter-domain routing.
1597,DSA,medium,Which of the following sorting algorithms is unstable?,Insertion Sort,Merge Sort,Quick Sort,Bubble Sort,c,"An unstable sorting algorithm is one that does not preserve the relative order of records with equal keys. Quick Sort is a classic example of an unstable sorting algorithm. Insertion Sort, Merge Sort, and Bubble Sort are generally stable."
1598,Python,hard,What does the inspect module allow you to do?,Modify Python bytecode,Retrieve sourceobject info at runtime,Directly manage memory,Compile Python to C,b,"The inspect module retrieves information about live objects, source code, classes, and functions."
1603,Software Engineering,medium,Which is a creational design pattern?,Factory,Observer,Command,Decorator,a,Factory is creational pattern.
1607,Operating Systems,medium,What is the main purpose of paging in memory management?,To increase CPU speed,To divide memory into equal fixed-size blocks,To reduce disk access,To optimize CPU cache,b,"Paging divides memory into equal fixed-size pages, simplifying memory allocation while avoiding external fragmentation."
1614,Computer Networks,hard,What is the maximum length of an IPv6 address in bits?,32,64,128,256,c,"An IPv6 address is 128 bits long, much larger than IPv4s 32-bit."
1620,Computer Networks,medium,What is the purpose of ICMP protocol?,File transfer,Error reporting  diagnostics,Reliable transmission,Authentication,b,"ICMP is used for network error reporting and diagnostic purposes e.g., ping."
1623,SQL,easy,What is a NULL value in SQL?,A value of 0,A blank space,A value that represents a missing or unknown data,An error,c,"A NULL value in SQL represents a missing or unknown value. It is not equivalent to 0, an empty string, or a blank space."
1629,Algorithms,hard,What is the average time complexity of HashMap operations?,O1,On,On log n,Olog n,a,"HashMap provides O1 average time for search, insert, and delete."
1634,Computer Networks,medium,What is the difference between HTTP and HTTPS?,HTTPS is for mobile devices only,HTTPS is the secure version of HTTP,HTTPS is used for file transfers,while HTTP is not,http is a faster protocol,B
1646,Data Structures,medium,Which traversal yields sorted order in BST?,Preorder,Inorder,Postorder,Level-order,b,Inorder traversal on BST yields sorted order.
1647,Operating Systems,medium,What does a page table map?,Addresses to disk,Logical to physical memory addresses,CPU registers to cache,Threads to processes,b,Page tables map virtual to physical addresses.
1648,Logic Design,easy,What is a flip-flop?,A circuit that stores a single bit of information,A temporary storage area in the CPU,A type of logic gate,A circuit that performs an arithmetic operation,a,"A flip-flop, or latch, is a sequential logic circuit that has two stable states and is used to store state information, which is a single bit 0 or 1."
1651,Algorithms,easy,Which sorting algorithm repeatedly partitions an array around a pivot?,Merge Sort,Quick Sort,Heap Sort,Selection Sort,b,Quick Sort divides arrays into partitions using a pivot element and sorts recursively.
1657,Computer Networks,hard,Which routing algorithm is used in OSPF?,Bellman-Ford,Dijkstra,Floyd-Warshall,Prim,b,OSPF uses Dijkstras Shortest Path First algorithm.
1658,Artificial Intelligence,easy,What is the main goal of AI?,Database design,Automation and intelligent decision making,Networking,File storage,b,AI aims to simulate intelligent behavior and decision-making.
1661,SQL,medium,What is a 'view' in SQL?,A temporary table,A virtual table based on the result-set of an SQL statement,A security feature,A type of index,b,A view is a virtual table that consists of rows and columns from one or more tables. It does not store data itself but instead provides a dynamic window into the underlying data.
1686,Computer Networks,hard,What protocol does BGP use to maintain connections?,TCP,UDP,IP,ICMP,a,BGP uses TCP port 179 for reliable routing communication.
1718,Computer Networks,medium,Which protocol is used for remote login?,FTP,SSH,DNS,TCP,b,SSH provides secure remote login capability.
1722,Computer Networks,medium,Which protocol is used for secure web communication?,HTTP,FTP,SSH,HTTPS,d,"HTTPS is the secure form of HTTP, using TLSSSL for encryption."
1723,Cybersecurity,medium,What is SQL injection primarily?,Adding queries to speed SQL,Injecting fake SQL commands into inputs,SQL query optimization,Encrypted SQL usage,b,SQL Injection is injecting malicious queries through input forms to exploit backend.
1725,Web Development,medium,How do you declare a variable with block scope in JavaScript?,using var,using let,using const,Both B and C,d,The let and const keywords were introduced in ES6 2015 to provide block-scoped variable declaration. var is function-scoped.
1727,Logic Design,medium,How many flip-flops needed for 32 states?,6,4,5,3,c,"2532, so 5 flip-flops required."
1731,Operating Systems,hard,What is the purpose of 'memory compaction'?,To reduce the amount of physical RAM,To increase the size of virtual memory,To move all allocated memory blocks to one end of memory to create a single large free block,To compress data in memory,c,"Memory compaction is a technique used in memory management to resolve the problem of external fragmentation. It involves moving all the allocated memory blocks to one side of the memory to consolidate all free space into a single, contiguous block."
1735,Algorithms,hard,What is the time complexity of Bellman-Ford algorithm?,OVE,OV2,OE log V,OV log E,a,Bellman-Ford runs in OVE.
1739,Operating Systems,medium,What is the difference between internal and external fragmentation?,Internal is within a single memory block; External is in the entire memory,Internal is caused by dynamic allocation; External is static,Internal is solved by compaction; External is solved by paging,Internal is fixed-size blocks; External is variable-size blocks,a,"Internal fragmentation occurs when memory is allocated in fixed-size blocks and a process only uses part of a block. External fragmentation occurs when total memory is available, but it is not contiguous, preventing its use."
1740,Logic Design,easy,Which flip-flop stores 1 bit?,JK,D,SR,All of the above,d,All flip-flops can store one bit.
1752,SQL,easy,What does the SQL keyword AS do?,It creates an alias for a table or column,It is used for sorting in ascending order,It checks for a specific condition,It defines a new column in a table,a,"The AS keyword is used to assign a temporary name, or alias, to a table or a column in a query, making the results easier to read."
1757,Software Engineering,medium,What is 'technical debt' often compared to?,Financial debt,Bug tracking,User testing,Refactoring,a,Technical debt refers to shortcuts in design that require future repayment in form of rework.
1769,Artificial Intelligence,medium,Which search guarantees minimum steps in unweighted graph?,DFS,BFS,A,UCT,b,BFS ensures minimum edges path.
1770,Database Management,hard,What is 'database sharding'?,The process of creating a full backup of a database,The process of horizontally partitioning a database into multiple smaller databases,The process of replicating a database to multiple servers,The process of optimizing database queries,b,"Sharding is a method of horizontally partitioning a database, meaning it divides a very large database into smaller, more manageable parts called shards. Each shard is an independent database, often on a separate server, to distribute the load."
1771,Cybersecurity,easy,What does SSL stand for?,Secure Socket Layer,Secure System Login,Safe Service Load,Server Socket Layer,a,SSL Secure Socket Layer encrypts connections over networks.
1785,Software Engineering,easy,Which testing type is performed by end users before release?,Unit Testing,System Testing,Acceptance Testing,Integration Testing,c,Acceptance Testing UAT is conducted by end users to verify that the system meets business requirements before deployment.
1803,Machine Learning,hard,Which neural net variant handles long-term dependencies better?,CNN,Vanilla RNN,LSTM,Perceptron,c,LSTM networks solve vanishing gradient in sequential tasks.
1807,Cloud Computing,medium,Which container orchestration tool is widely used?,Docker,Kubernetes,Terraform,VMware,b,Kubernetes orchestrates containerized apps at scale.
1808,Operating Systems,hard,Which memory allocation method can cause external fragmentation?,Paging,Segmentation,Swapping,Fixed partitioning,b,Segmentation can cause external fragmentation as memory blocks may not be contiguous.
1812,Data Science,hard,What is the curse of dimensionality?,Dataset too small,Model too simple,Performance degrades as features grow,Data too clean,c,High dimensionality reduces performance of distance-based and machine learning models.
1814,SQL,medium,What is the difference between a DELETE and DROP command?,DELETE removes a table,DROP removes rows,DELETE removes rows,DROP removes table,delete is ddl,DROP is DML
1815,Computer Networks,easy,Which protocol translates IP addresses to MAC addresses?,DNS,ARP,HTTP,TCP,b,ARP resolves IP addresses into physical MAC addresses.
1822,Software Engineering,hard,What is Dependency Injection?,Manually creating dependencies,Framework provides dependencies automatically,Strong coupling,Module duplication,b,DI decouples modules by injecting dependencies.
1831,Data Science,hard,Which algorithm is best for dimensionality reduction?,K-Means,Linear Regression,PCA,Naive Bayes,c,Principal Component Analysis reduces dimensionality by projecting onto principal components.
1834,Software Engineering,medium,Which model uses small iterations for development?,Waterfall,Scrum,V-Model,Incremental,b,Scrum Agile uses sprints and iterations.
1838,Python,hard,What does the new method do?,Initializes instance,Creates a new instance,Deletes an object,Handles iteration,b,new is called to create a new instance before init initializes it.
1841,SQL,hard,What happens if you omit the WHERE clause in a DELETE SQL statement?,Deletes nothing,An error occurs,Deletes one random row,Deletes all rows from the table,d,A DELETE statement without a WHERE clause removes every record from the table.
1842,Algorithms,easy,Which algorithm is used for searching element in an unsorted list?,Binary Search,DFS,Linear Search,Interpolation Search,c,Linear Search is the simplest method for unsorted data.
1846,SQL,hard,What is the difference between RANK and DENSERANK?,RANK skips ranks after a tie,DENSERANK does not,RANK does not skip ranks,DENSERANK does,`rank()` is faster than `dense_rank()`,RANK and DENSERANK are identical
1854,Operating Systems,medium,Which table stores process info?,File Allocation Table,Page Table,Process Control Block,Kernel stack,c,PCB stores process state.
1857,SQL,medium,What is the purpose of an SQL index?,To sort data,To speed up data retrieval,To save storage,To encrypt data,b,Indexes allow quicker data access by reducing the need for a full table scan.
1863,Web Development,medium,What is the box model in CSS?,A model for creating 3D boxes,A conceptual model of how elements are rendered on a web page,A model for creating flexible layouts,A model for aligning text,b,"The CSS box model describes how the browser renders elements. It consists of the content, padding, border, and margin, which combine to determine the final size and spacing of an element."
1871,Computer Networks,hard,What protocol is primarily responsible for email transmission?,FTP,SMTP,HTTP,IMAP,b,SMTP Simple Mail Transfer Protocol is responsible for sending emails between servers.
1879,SQL,easy,Which SQL keyword is used to remove duplicate rows in a SELECT query?,UNIQUE,DISTINCT,REMOVE,REDUCE,b,The DISTINCT keyword ensures duplicate rows are eliminated from the result set.
1880,Artificial Intelligence,medium,What problem does alpha-beta pruning solve?,Shortens path,Reduces nodes evaluated,Increases memory,Quicker IO,b,Alpha-beta pruning reduces number of nodes evaluated in minimax.
1887,Cloud Computing,easy,Which service is for delivering applications online?,PaaS,IaaS,SaaS,FaaS,c,SaaS delivers apps like Google Docs or Dropbox via cloud.
1891,Artificial Intelligence,easy,What does BFS stand for?,Binary Fast Search,Best First Search,Breadth First Search,Branch Fast Search,c,BFS is Breadth First Search algorithm.
1893,Algorithms,hard,What is the 'master theorem' in algorithm analysis used for?,To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form Tn  aTnb  fn, which is common in the analysis of divide and conquer algorithms."
1900,Cybersecurity,medium,Which attack involves flooding system with requests?,SQL Injection,Ransomware,DDoS,XSS,c,Distributed Denial of Service overwhelms systems with traffic.
1910,SQL,medium,Which join returns all rows from the left table,and the matched rows from the right table?,INNER JOIN,RIGHT JOIN,LEFT JOIN,full join,C
1918,Python,hard,What is the purpose of the yield keyword in a function?,To return a value and terminate the function,To return a value and save the function's state,To raise an error,To define a class method,b,"The yield keyword is used to create a generator. It returns a value to the caller and pauses the function's execution, saving its state for the next call. The function can then resume from where it left off."
1926,Cybersecurity,hard,What is Public Key Infrastructure PKI mainly for?,Securing Databases,Managing CertificatesKeys,Increasing Bandwidth,Firewalls,b,PKI manages keys and certificates for encryptionauthentication.
1936,Data Structures,hard,What is the time complexity of deleting the minimum element from a min-heap?,O1,Olog n,On,On log n,b,"After deletion, heapify takes Olog n."
1939,Artificial Intelligence,easy,Which search algorithm is optimal with admissible heuristic?,DFS,A,Greedy BFS,IDDFS,b,A with admissible heuristics always finds least-cost path.
1947,Python,medium,What is the purpose of the try...except block?,To handle network requests,To define a new function,To manage loops,To catch and handle errors or exceptions,d,"The try...except block is used to gracefully handle exceptions that might occur during the execution of a block of code, preventing the program from crashing."
1962,Operating Systems,hard,What is copy-on-write in memory management?,Data written twice for safety,A technique to defer copying memory pages until modification,A way to optimize file IO,A cache optimization method,b,"Copy-on-write allows processes to share the same memory pages until one modifies it, then a copy is created."
1988,Algorithms,medium,What is the time complexity of heap sort?,On,On log n,On2,Olog n,b,Heap sort builds a heap and sorts in On log n time complexity.
1989,Software Testing,medium,Smoke testing is also known as?,Sanity testing,Confidence testing,Build verification,Both A and B,d,Smoke testing validates stability of a new build.
2004,Data Structures,medium,What is a binary heap primarily used for?,Stacks,Priority queues,Graphs,Strings,b,Binary heaps efficiently implement priority queues.
2008,Artificial Intelligence,medium,What is heuristic function in A search?,Exact cost,Random guess,Estimated cost remaining,Loop counter,c,Heuristic in A estimates cost from node to goal.
2011,Logic Design,medium,What is the main advantage of using a Karnaugh Map K-map?,It can be used for any number of variables,It is a visual method for simplifying Boolean expressions,It is a method for performing binary arithmetic,It can be used to design sequential circuits,b,"A K-map is a visual tool used to simplify Boolean algebra expressions by grouping together terms that can be simplified, which is often easier and more intuitive than using Boolean algebra laws alone."
2044,Python,easy,What is the correct syntax to create a new list?,newlist  ,newlist  ,newlist  ,newlist  list,a,"A new, empty list is created in Python using a pair of square brackets ."
2054,Python,easy,What is the output of print3  5 or 2  4?,TRUE,FALSE,Error,None,a,"The expression 3  5 is False. The expression 2  4 is True. The or operator returns True if at least one of the conditions is true, so the output is True."
2061,Cybersecurity,medium,What is penetration testing?,Performance test,Load testing,Security evaluation by simulating attacks,Firewall setup,c,Pentesting simulates real attacks to test system vulnerabilities.
2063,Software Engineering,easy,Which document defines customer needs?,Requirement Specification,Design Document,Test Plan,Coding Manual,a,SRS Software Requirement Specification defines customer requirements.
2075,SQL,medium,Which keyword is used to sort the result-set in ascending order?,SORT BY,ORDER BY,SORT ASC,ORDER ASC,b,The ORDER BY clause is used to sort the result-set by a specified column. The default sort order is ascending ASC.
2083,Python,hard,Which method is used for context managers?,str,main,enter and exit,iter,c,Context managers require enter and exit.
2089,Algorithms,medium,Which traversal technique is used in Depth-First Search DFS?,Level Order traversal,Breadth Order traversal,Stack-based traversal,Queue-based traversal,c,DFS uses recursion or an explicit stack to go as deep as possible before backtracking.
2096,Algorithms,medium,Which algorithm is used for all-pairs shortest paths?,Dijkstra,Bellman-Ford,Floyd-Warshall,Prim,c,Floyd-Warshall finds shortest paths between all pairs of vertices.
2098,Data Structures,medium,What is the difference between a min-heap and max-heap?,Min-heap stores smaller values at bottom,Max-heap is always balanced,Min-heap root is smallest,Max-heap root is largest,heap has no root,C
2113,Software Testing,medium,What is white-box testing?,Testing internals,Testing without internals,System testing,Acceptance testing,a,White-box relies on code knowledge.
2114,Deep Learning,medium,What problem do vanishing gradients mostly affect?,Convolutional networks,Recurrent neural networks,Decision trees,KNN,b,RNNs are prone to vanishing gradient issues due to repeated multiplications.
2119,SQL,medium,What is indexing tradeoff?,Faster reads but slower writes,Slower reads but faster writes,Fewer backups,Bigger tables,a,Indexes speed lookups but slow insertsupdates.
2134,Python,easy,How do you create a variable with the integer value 5?,x  5,x  5,x : 5,x  5,a,"In Python, a variable is created by simply assigning a value to it using the assignment operator ."
2148,Python,easy,What is the difference between list and ?,list is a function, is a literal,They are completely different data types,list is faster,`list()` is for numbers, is for strings
2150,Cybersecurity,easy,What is spyware?,Malware spying on users,Tool for encryption,Browser plugin,Security patch,a,Spyware secretly monitors user activities.
2162,Data Structures,hard,What is the maximum number of nodes in a binary tree of height h?,2h,2h1-1,h2,h,b,"In a binary tree, maximum nodes  2h1-1."
2186,Data Science,easy,Which library is used widely for data manipulation in Python?,Matplotlib,NumPy,Pandas,TensorFlow,c,Pandas is designed for efficient data analysis and manipulation.
2189,SQL,hard,What is the purpose of ACID properties in a database transaction?,To ensure security and user authentication,To ensure that transactions are processed reliably,To optimize query performance,To manage the data schema,b,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These are a set of properties that guarantee that database transactions are processed reliably, even in the event of failures or errors."
2192,Algorithms,medium,Which algorithm is commonly used to detect negative weight cycles in a graph?,Dijkstra's Algorithm,Bellman-Ford,Floyd-Warshall,A,b,Bellman-Ford can detect negative weight cycles because it relaxes edges V-1 times and checks for changes on the Vth iteration.
2212,Artificial Intelligence,hard,What does reinforcement learning optimize?,Unlabeled classes,Loss function,Expected rewards,Feature scaling,c,Reinforcement learning optimizes cumulative expected long-term rewards.
2220,Machine Learning,medium,Which evaluation metric is best for imbalanced classification problems?,Accuracy,Precision-Recall Curve,F1-Score,Mean Squared Error,c,"In imbalanced datasets, F1-score harmonic mean of precision and recall gives a better measure of performance than accuracy."
2224,SQL,hard,What does the WITH RECURSIVE clause enable?,Creating a view,Running recursive queries,Removing recursion,Joining databases,b,The WITH RECURSIVE clause supports self-referencing queries like hierarchical data navigation.
2232,SQL,medium,What is a stored procedure?,Predefined SQL query,Routine stored in DB executed by call,SQL Index,Transaction type,b,A stored procedure is a set of SQL statements stored and executed in the database.
2233,Database Management,hard,"Explain the concept of ""dirty reads"" in database concurrency.",Reading data from a table that is not formatted correctly,Reading data that has been modified by a transaction that has not yet been committed,Reading data from a non-indexed table,Reading data from a user that has not been authenticated,b,"A dirty read occurs when a transaction reads data that has been written by another concurrent transaction that is not yet committed. If the uncommitted transaction is rolled back, the data read would be invalid."
2235,Algorithms,hard,What is complexity of Strassens multiplication?,On2.81,On2,On4,On3,a,Strassen multiplies in On2.81.
2246,SQL,medium,What is a foreign key used for in SQL?,To identify rows uniquely,To link two tables,To enforce data integrity,All of the above,d,A foreign key links two tables and enforces relational integrity.
2248,Python,easy,Which operator is modulus?,,,,,b,The  operator returns remainder.
2254,Computer Networks,easy,Which layer of OSI adds headers for routing?,Presentation,Data Link,Network,Session,c,The network layer adds logical addressing and routing headers.
2271,Data Structures,easy,Which data structure follows FIFO principle?,Stack,Queue,Heap,Graph,b,Queues follow First In First Out FIFO principle.
2292,Python,medium,What does the zip function do in Python?,Combines two lists into a dictionary,Iterates over multiple iterables in parallel,Sorts a list of tuples,Compresses data,b,"The zip function takes multiple iterables and returns an iterator of tuples, combining elements at the same indices."
2321,Algorithms,hard,"What is a Turing machine"" in the context of algorithms?""",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
2343,Cloud Computing,hard,What is Faas Function-as-a-Service?,Manages apps only,Run functions serverlessly,Provides virtual machines,Stores big data,b,FaaS means running small functions in serverless environment.
2358,Data Structures,hard,What is the height of an AVL tree with n nodes?,Olog n,On,On,O1,a,"AVL tree is height-balanced, so Olog n."
2367,Python,easy,Which method is used to add an element at the end of a list?,insert,append,extend,add,b,The append method adds a single element to the end of a list.
2409,Cloud Computing,medium,Which manages containers at scale?,Docker,Jenkins,Kubernetes,Terraform,c,Kubernetes is container orchestration tool.
2411,Database Management,easy,Which SQL clause is used to limit output rows?,WHERE,LIMIT,OFFSET,TOP,b,The LIMIT clause restricts the number of rows returned in query results.
2416,Python,medium,What is the output of print'Hello'.count'l'?,1,2,3,4,b,The count method on a string returns the number of non-overlapping occurrences of a substring. The character 'l' appears 2 times in 'Hello'.
2417,Cloud Computing,medium,What is the difference between a public cloud and a private cloud?,A private cloud is owned by the user,a public cloud is not,A public cloud is managed by a third-party provider,a private cloud is not,a public cloud is shared among multiple organizations,while a private cloud is dedicated to a single organization
2420,Data Science,easy,Which Python library is commonly used for visualization?,Pandas,NumPy,Matplotlib,SciPy,c,Matplotlib is widely used for data visualization in Python.
2424,Data Science,easy,Which Python library is for numerical computing?,Pandas,NumPy,TensorFlow,Matplotlib,b,NumPy is the fundamental library for numerical operations.
2435,Data Structures,medium,What traversal prints expression tree in infix order?,Preorder,Inorder,Postorder,Level Order,b,Inorder traversal of an expression tree gives the expression in infix form.
2477,Computer Networks,medium,Which of the following is a connectionless protocol?,TCP,UDP,SSH,SMTP,b,UDP is connectionless and does not guarantee delivery unlike TCP.
2487,Data Structures,hard,What is the time complexity of inserting into a splay tree?,Olog n amortized,O1,On,On log n,a,Splay trees perform operations in Olog n amortized time.
2489,SQL,hard,What is an atomic transaction?,One that cannot be interrupted,Transaction that must fully complete or fully fail,Fastest transaction,Smallest memory operation,b,Atomicity ensures a transaction is indivisible and all-or-nothing in execution.
2499,Algorithms,hard,Which of the following has NP-complete complexity?,Sorting array,Knapsack 01,Matrix multiplication,BFS,b,01 Knapsack problem is NP-Complete as it requires exponential time without dynamic programming.
2504,SQL,easy,Which SQL function is used to find the average value of a numeric column?,AVG,AVERAGE,MEAN,SUM,a,The AVG aggregate function is used to calculate the average value of a set of values in a column.
2548,Computer Networks,hard,Which protocol ensures delivery  retransmission?,UDP,TCP,ICMP,IP,b,TCP ensures reliable transport.
2623,SQL,easy,Which SQL command is used to delete a table from a database?,REMOVE TABLE,DELETE TABLE,DROP TABLE,ERASE TABLE,c,The DROP TABLE statement is used to permanently remove a table definition and all its data from a database.
2643,Software Testing,easy,What is smoke testing?,Checking system stability,Checking hardware only,Finding bugs only,Compiling only,a,Smoke test validates stability of basic build.
2648,Cybersecurity,easy,What type of malware encrypts files?,Rootkit,Trojan,Ransomware,Spyware,c,Ransomware locks user files.
